date,state,地区生产总值(亿元),地区生产总值－第一产业(亿元),地区生产总值－第二产业(亿元),地区生产总值－工业(亿元),地区生产总值－建筑业(亿元),地区生产总值－第三产业(亿元),地区生产总值－交通运输、仓储和邮政业(亿元),地区生产总值－批发和零售业(亿元),地区生产总值－金融业(亿元),地区生产总值－房地产业(亿元),地区生产总值－其他服务业(亿元),第一产业占GDP比重(%)(没有单位),第二产业占GDP比重(%)(没有单位),第三产业占GDP比重(%)(没有单位),人均地区生产总值(元),地区生产总值指数（上年＝100）(没有单位),地区生产总值指数－第一产业（上年＝100）(没有单位),地区生产总值指数－第二产业（上年＝100）(没有单位),地区生产总值指数－第三产业（上年＝100）(没有单位),社会消费品零售总额(亿元),,年底人口数(万人)
2000,北京市,2478.76,89.97,943.51,745.32,198.19,1445.28,190.12,406.38,425.19,77.37,776.88,3.6296,38.0638,58.3066,22459.6566,110.9846,103.9974,111.3549,112.9,1443.3,1280.46,1357
2000,天津市,1639.36,73.54,820.17,747.28,72.89,745.65,178.83,229.16,58.44,69.35,245.3,4.4859,50.0299,45.4842,17993.195,110.7667,103.6816,111.48,110.5,736.6,610.94,1001
2000,河北省,5088.96,824.55,2559.96,2246.73,313.23,1704.45,415.79,459,183.77,99.53,546.36,16.2027,50.3042,33.4931,7662.7577,109.4704,105.0508,110.1061,110.4,1613.9,1816.79,6674
2000,山西省,1643.81,179.86,827.59,706.39,121.2,636.36,146.01,180.16,127.74,29.39,246.07,10.9417,50.3458,38.7125,5137.0507,107.7821,110.7476,107.8835,110,629.1,548.16,3248
2000,内蒙古自治区,1401.01,350.8,556.28,455.21,101.07,493.93,142.59,195.39,36.26,17.63,164.77,25.0391,39.7056,35.2553,5871.7938,109.6553,102.6005,112.1148,114.5,484,423.64,2372
2000,辽宁省,4669.06,503.44,2344.4,2114.89,229.51,1821.22,350.46,631.6,127.91,103.56,607.63,10.7825,50.2114,39.0061,11226.4006,108.9391,98.3851,110.7345,109.6,1847.6,1267.68,4184
2000,吉林省,1821.19,398.73,800.28,655.68,144.6,622.18,119.1,237.55,72.33,45.83,241.36,21.8939,43.9427,34.1634,6847.4027,109.1569,96.9979,113.3531,111.7,810.9,603.51,2682
2000,黑龙江省,3253,357,1868.55,1664.35,204.2,1027.45,203.13,317.4,30.9,104.7,369.45,10.9745,57.4408,31.5847,8561.6528,108.2,96.8,109.8,111.8,1094,832.64,3807
2000,上海市,4551.15,83.2,2163.68,1956.66,207.02,2304.27,315.42,533.89,602.95,251.7,701.06,1.8281,47.5414,50.6305,34546.9796,110.7721,103.4261,109.7997,113.5,1722.3,1869.38,1641
2000,江苏省,8582.7276,1031.17,4435.889,3848.5206,587.3684,3115.6686,557.3707,958.5,349.49,351.922,905.95,12.0145,51.6839,36.3016,11772.9659,110.6365,103.8939,111.6204,111.2,2604.1,2569.97,7327
2000,浙江省,6036.34,664.16,3183.47,2883.37,300.1,2188.71,428.3,794.64,221.73,116.9,642.77,11.0027,52.7384,36.2589,13460.9329,111.0333,104.546,111.7335,111.8,2298.8,2349.95,4596
2000,安徽省,3038.2359,732.19,1296.312,1100.452,195.86,1009.7339,179.85,300.75,76.54,114.2922,398.36,24.0992,42.6666,33.2342,4867.4077,108.266,101.2003,109.9373,111.5,1054.3,803.97,6286
2000,福建省,3920.07,640.57,1711.16,1470.07,241.09,1568.34,444.13,399.11,118.85,118.02,419.3,16.3408,43.6513,40.008,11601.2726,109.468,102.5674,111.2484,110,1372.8,1112.2,3410
2000,江西省,2003.07,485.14,700.76,539.78,160.98,817.17,194.98,181.96,92.97,89.76,257.5,24.2198,34.9843,40.7959,4851.2583,107.9915,106.8009,106.6689,110.4,704.9,516.08,4149
2000,山东省,8542.44,1268.57,4244.4,3737.38,507.02,3029.47,553.17,856.94,314.25,309.99,912.23,14.8502,49.686,35.4638,9555.2379,110.5,103.8045,112.3947,110.4,2545.9,2531.1,8998
2000,河南省,5137.66,1161.58,2413.78,2078.94,334.84,1562.3,391.88,411.47,144.81,154.71,498.63,22.6091,46.9821,30.4088,5443.8781,109.4468,104.522,111.7344,109.2,1786.7,1377.74,9488
2000,湖北省,4276.32,662.3,2123.7,1903.28,220.42,1490.32,256.94,449,81.49,87.75,531.46,15.4876,49.6619,34.8505,7188.2764,109.2621,102.5036,110.7945,111.5,1789.4,1339.2,5960
2000,湖南省,3691.88,784.92,1461.86,1230.71,231.15,1445.1,277.69,342.3,88.88,97.14,622.47,21.2607,39.5966,39.1427,5639.0149,108.9787,103.9,110.5979,110.9,1364.7,1012.24,6562
2000,广东省,9662.23,1000.06,4868.75,4295.03,573.72,3793.42,908.45,1371.49,443.69,515.52,1375.4,10.3502,50.3895,39.2603,12885.3958,110.8256,102.3986,111.7441,113.2,4071.9,3145.13,7707
2000,广西壮族自治区,2050.14,538.69,748,619.84,128.16,763.45,160.87,290.02,21.39,46.12,287.78,26.2758,36.4853,37.2389,4318.8119,107.274,100.186,108.9729,113.4,859.2,583.34,4750
2000,海南省,518.48,196.56,102.45,65.76,36.69,219.47,46.97,70.3,9.27,9.32,82.2,37.9108,19.7597,42.3295,6893.9475,108.7524,110.2472,107.4939,108.8,172.5,198.87,789
2000,重庆市,1589.34,283,657.51,527.48,130.03,648.83,98.19,191.08,61.61,51.92,229.33,17.8061,41.37,40.8239,5157.3147,108.4874,101.5003,110.4898,109.4,643.4,572.59,3092
2000,四川省,4010.25,945.58,1700.49,1393.84,306.65,1364.18,249.39,426.63,153.05,105.49,508.39,23.5791,42.4036,34.0173,4783.7658,109.0004,103.3398,111.1185,113.1,1523.7,1418.04,8602
2000,贵州省,993.53,270.99,387.85,314.73,73.12,334.69,64.59,83.72,36.07,27.58,134.82,27.2755,39.0376,33.687,2661.5571,108.6523,103.6232,110.2881,113.7,343.7,396.98,3756
2000,云南省,1955.09,436.26,843.24,697.69,145.55,675.59,119.77,216.33,79.05,71.09,244.33,22.3141,43.1305,34.5554,4636.6504,107.1178,105.7153,105.7233,110.4,583.2,683.96,4241
2000,陕西省,1660.92,279.12,731.9,549.58,182.32,649.9,156.18,175.62,50.27,35.85,326.14,16.8051,44.0659,39.1289,4549.2194,109.0276,104.5023,109.7347,112.1,607.6,653.67,3644
2000,甘肃省,983.36,193.36,439.88,328.41,111.47,350.12,50.07,112.81,42.84,24.77,170.82,19.6632,44.7323,35.6045,3838.2514,108.7082,101.4996,110.7604,112.7,362.7,395.4,2557
2000,青海省,263.59,38.53,114,80.55,33.45,111.06,19.19,23.98,16.98,4.06,45.41,14.6174,43.249,42.1336,5087.1369,108.9566,95.9695,111.4616,111.4,82.1,151.14,517
2000,宁夏回族自治区,265.57,45.95,120.04,93,27.04,99.58,19.31,26.24,21.57,5.46,41.34,17.3024,45.2009,37.4967,4839.1035,109.758,98.0428,114.513,111.6,90.2,157.52,554
2000,新疆维吾尔自治区,1364.36,288.18,586.84,422.08,164.76,489.34,121.79,110.1,41.94,15,210.27,21.122,43.0121,35.8659,7469.8056,108.2227,104.8405,108.9558,112.1,374.5,610.39,1849
2001,北京市,3710.52,93.08,1030.6,816.24,214.36,1721.97,218.53,459.11,487.54,111.03,978.49,3.3,36.2,60.5,25523,111.7052,104.4904,109.4159,113.1,1593.5,1513.3161,1383
2001,天津市,1919.09,78.55,904.64,821.18,83.46,856.91,203.98,269.76,66.52,85.61,277.18,4.2688,49.1625,46.5687,20154.4359,112.0238,106.2823,112.8388,111.7,832.7,704.9964,1004
2001,河北省,5516.76,913.9,2767.41,2439.56,327.85,1896.47,498.81,488.61,167.29,106.8,634.25,16.4,49.6,34,8362,108.6988,105.3,108.3,111,1778.3,1912.5323,6699
2001,山西省,2029.53,171.09,917.98,779.78,138.2,690.9,157.2,201.68,139.24,31,276.73,9.6,51.6,38.8,5460,110.1001,96.4,110.3,112.6,679.9,663.5802,3272
2001,内蒙古自治区,1713.81,358.89,626.47,506.69,119.78,560.43,162.79,226.46,39.92,21.02,184.67,23.2173,40.5275,36.2552,6462.5219,110.6,101.984,111.4601,115.5,537.3,503.632,2377
2001,辽宁省,5033.08,544.44,2440.55,2190.12,250.43,2048.09,394.5,696.51,131.32,114.96,710.8,10.8172,48.4902,40.6926,12040.8612,108.9825,106.684,107.5473,111.5,2034.9,1421.1896,4194
2001,吉林省,2120.35,409.1,880.84,724.73,156.11,742.54,129.06,267.37,79.5,49.62,271.06,20.1281,43.3382,36.5337,7640.0119,109.2999,104.5996,110.8574,109.9,909.1,701.7035,2691
2001,黑龙江省,3390.13,409.3,1998.74,1767.79,230.95,1152.96,239.1,344.8,31.3,108.16,432.35,11.494,56.1286,32.3774,9348.9105,109.3,107.9916,109.8386,108.8,1198.9,963.5805,3811
2001,上海市,5210.12,85.5,2355.53,2121.19,234.34,2509.81,344.85,603.92,529.26,316.85,840.85,1.7,47.6,50.7,37382,110.501,103,112,109.4,1861.3,2004.6422,1614
2001,江苏省,9456.84,1082.43,4907.46,4270.9,636.56,3522.02,644.87,1094.24,353.41,393.75,1035.64,11.4,51.6,37,12922,110.1514,103.9,111,111.5,2869,2823.1985,7355
2001,浙江省,6898.3388,695.15,3459.75,3106.29,353.46,2593.25,503.68,868,260.36,146.31,843.9,10.3,51.3,38.4,14655,110.6463,104.8,111,111.7,2555.5,2834.9392,4613
2001,安徽省,3246.7146,750.07,1415.32,1191.62,223.7,1124.74,195.3,323.51,78.83,126.44,465.29,22.7976,43.0171,34.1853,5220.7712,108.8879,102.7493,110.5445,112.3,1142.8,893.3729,6328
2001,福建省,4072.85,651.11,1904.21,1645.34,258.87,1698.36,468.49,429.56,124.84,128.52,469.66,15.3,44.8,39.9,12362,108.6598,103.5,110.7,109.2,1499.5,1172.9112,3440
2001,江西省,2175.68,506,788.12,595.55,192.57,881.56,216.1,192.06,82.02,114.84,276.7,23.3,36.2,40.5,5221,108.78,104.2,112.9,107.9,763.3,631.8353,4186
2001,山东省,9195.036,1359.49,4654.51,4092.24,562.27,3424.31,668.49,972.33,318.34,376.26,1001.25,14.4,49.3,36.3,10465,110.0424,104.1984,111.3437,111.2,2834.9,2788.6826,9041
2001,河南省,5533.01,1234.34,2659.04,2279.89,379.15,1746.73,442.07,460.77,150.78,171.71,568.39,21.885,47.1452,31.0028,5923.552,109.0054,105.5459,109.9,110.3,1979.8,1544.0556,9555
2001,湖北省,3880.53,692.17,2313.66,2066.47,247.19,1656.45,282.45,480.79,88.48,106.46,605.63,14.8,49.6,35.5,7813.07,108.8633,102.5,110.2,110.8,1975.2,1486.5484,5975
2001,湖南省,3831.9,825.73,1573,1309.5,263.5,1584.27,294.9,377.18,91.71,108,682.17,20.7,39.5,39.8,6054,109.0284,104,110.3,110.6,1511.1,1174.2998,6596
2001,广东省,12039.2536,1004.35,5341.6086,4732.4086,609.2,4301.7521,1073.8139,1543.83,450.81,559.6555,1739.13,9.4325,50.1667,40.4007,13729.9286,110.489,102.2999,110.4286,112,4515.3,3484.4304,7783
2001,广西壮族自治区,2279.34,562.52,791.85,648.19,143.66,876.82,187.66,312.68,27.4,60.83,351.56,25.2,35.5,39.3,4668,108.2965,103.4008,108.0508,111.8,935.9,655.629,4788
2001,海南省,558.4137,201.79,111.25,71.59,39.66,232.92,50.76,74.08,9.75,10.12,88.78,37,20.4,42.7,7135,109.0791,109.6815,108.6579,108.7,187.5,213.3167,796
2001,重庆市,1765.68,293.03,727.66,576.58,151.08,729.08,109.48,208.51,64.99,60.47,260.2,16.7,41.6,41.7,5654,109,102.2,111.8,109.1,699.3,697.0277,3097
2001,四川省,4293.491,981.68,1756.86,1407.81,349.05,1683.22,313.78,474.79,168.86,131.55,583.77,22.2,39.7,38.1,5250,108.9759,102.2,112.3,109.8,1680.4,1617.5184,8640
2001,贵州省,1133.27,274.17,419.74,335,84.74,390.99,75.37,89.67,37.24,33.19,164.64,25.2715,38.6893,36.0393,2895.2902,108.7502,101.1403,111.0171,113.6,378,536.014,3799
2001,云南省,2138.31,450.54,881.49,723.98,157.51,742.68,139.01,221.24,86.25,79.57,287.42,21.7,42.5,35.8,4866,106.8164,103.9,104.3,111.7,655.4,738.4472,4287
2001,陕西省,2010.62,287.24,816.34,606.12,210.22,740.69,188.91,202.17,58.16,41.48,356.77,15.6,44.3,40.2,5024,109.8,102.5,109.9,111.2,665.1,773.4348,3659
2001,甘肃省,1125.3728,207.05,481.07,356.51,124.56,384.39,56.55,121.28,42.47,27.44,169.86,19.3052,44.8546,35.8402,4163.3574,109.7646,107.499,110.1482,111,395.4,460.3746,2575
2001,青海省,300.13,42.79,132.18,89.2,42.98,125.98,23.11,26.25,16.1,4.34,53.82,14.2183,43.9209,41.8608,5734.5655,111.7125,105.7617,115.5263,110.7,90.4,196.3462,523
2001,宁夏回族自治区,337.4447,49.57,134.37,102.23,32.14,114.44,22.95,29.18,21.37,7.65,51.11,16.6,45,38.4,5340,110.0857,106.3,111.2,110.3,98.9,191.0833,563
2001,新疆维吾尔自治区,1491.6,288.12,630.37,450,180.37,566.99,118.6,118.45,48.53,19.19,278.92,19.4,42.4,38.2,7913,108.5519,102.8,108.7,112.1,406.3,705.997,1876
2002,北京市,4330.4,98.05,1116.53,874.15,242.38,1998.13,235.56,509.68,561.91,163.12,1220.26,3.05,34.75,62.19,28449,111.5208,105,108.5,113.3,1744.8,1796.14,1423
2002,天津市,2150.76,84,1001.9,909.24,92.66,965.26,230.88,311.2,76.86,97.66,307.01,4.1,48.85,47.06,22380,112.6663,106.1,114.3,111.4,941.4,807.51,1007
2002,河北省,6018.28,957.01,3046,2695.69,350.31,2119.52,554.91,521.81,179.6,115.16,754.27,15.6,49.8,34.6,9115,109.6494,105.4,110.6,110.2,1968.3,2020.38,6735
2002,山西省,2324.8,197.8,1083.79,921.99,161.8,735.95,177.6,226.21,124.1,33.5,308.32,9.8,53.7,36.5,6146,112.8997,113.6,114.4,111.2,755.4,813.36,3294
2002,内蒙古自治区,1940.94,374.69,728.34,573.3,155.04,631.28,188.08,266.54,43.99,22.79,205.18,21.6,42,36.4,7241,113.1753,104.8,116.5,115.3,606,707.91,2379
2002,辽宁省,5458.22,590.2,2609.85,2331.95,277.9,2258.17,425.41,760.26,137.18,130.94,804.38,10.8,47.8,41.4,12986,110.25,108.4,109.8,111.3,2258.4,1605.55,4203
2002,吉林省,2348.54,446.17,978.37,803.53,174.84,821.58,138.92,287.78,75.45,60.02,328.67,19.9,43.5,36.6,8334,109.5,106.3,110.5,110.1,1008.1,834.23,2699
2002,黑龙江省,3637.2,447,2169.15,1916.04,253.11,1266.01,264.89,377.1,31.6,115.89,489.6,11.6,55.6,32.8,10184,110.237,108.1,110.7,110.2,1320,1046.17,3813
2002,上海市,5741.03,88.24,2564.69,2312.77,251.92,2755.83,382.82,660.49,485.25,373.63,1029.17,1.63,47.42,50.95,40646,111.3423,103,112.1,110.9,2035.2,2213.72,1625
2002,江苏省,10606.85,1119.12,5550.98,4826.58,724.4,3961.65,717.76,1246.05,368.86,456.56,1188.16,10.5,52.2,37.3,14391,111.6643,103.5,113.7,111.6,3215.8,3450.12,7381
2002,浙江省,8003.67,694,3982,3580,402,3120,602,983.72,347.53,186.83,1045.95,8.9,51.1,40,16838,112.639,104.5,113.4,113.7,2877.5,3477.47,4647
2002,安徽省,3519.7195,772.55,1552.21,1290.52,261.69,1244.34,219.44,343.87,81.85,142.31,558.85,21.6,43.5,34.9,5817,109.6063,103.9,110.7,113,1228.7,1074.46,6338
2002,福建省,4467.55,664.78,2159.94,1882.55,277.39,1857.29,491,465.91,138.28,142.17,528.46,14.2,46.1,39.7,13497,110.16,102.7,114.2,109.2,1663.3,1253.08,3466
2002,江西省,2450.48,535.98,951.77,693.18,258.59,962.73,243.61,214.19,76.51,125.27,308.15,21.9,38.8,39.3,5829,110.54,104.4,118.5,106.9,832.7,889.04,4222
2002,山东省,10275.4957,1390,5309.54,4629.54,680,3852.52,667.75,1142.54,310.07,429.32,1221.13,13.2,50.3,36.5,11645,111.7293,102.5,114.8,110.9,3181.9,3483.31,9082
2002,河南省,6035.48,1288.36,2951.06,2531.72,419.34,1929.31,491.57,514.03,158.77,185.6,635.49,20.9,47.8,31.3,6436,109.4698,104.5,111.5,109.9,2189.8,1725.93,9613
2002,湖北省,4212.82,707,2446.05,2168.42,277.63,1822.58,306.43,519.46,96.95,124.23,686.51,14.2,49.2,36.6,8319,109.218,102,110.3,111.4,2198.4,1605.06,5988
2002,湖南省,4151.54,847.25,1737.2,1440.8,296.4,1756.49,322.58,416.15,92.43,125.46,773.41,19.5,40,40.5,6565,108.9894,102.6,110.9,110.5,1678.9,1347.96,6629
2002,广东省,13502.4249,1032.8,5935.63,5288.53,647.1,4801.3,1157.75,1761.27,454.65,633.87,2113.66,8.8,50.4,40.8,15030,112.3731,104.4,113.4,112.5,5013.6,3850.78,7859
2002,广西壮族自治区,2523.73,595.68,863.96,699.16,164.8,995.72,225.81,342.28,35.86,69.43,399.95,24.3,35.2,40.5,5099,110.5535,107.3,111.3,112,1025.5,750.33,4822
2002,海南省,621.974,228.95,125.33,83.78,41.55,249.85,54.62,78.65,10.08,11.07,98.82,37.9,20.7,41.4,7803,109.5713,109.1,112.5,108.5,204.4,225.41,803
2002,重庆市,1990.01,315.78,827.55,651,176.55,827.97,123.97,229.1,68.96,70.9,302.12,16.02,41.98,42,6347,110.25,104.1,113.8,109.3,763.1,899.26,3107
2002,四川省,4725.0134,1027.62,1982.44,1551.48,430.96,1865.06,348.78,519.46,183.13,147.02,681.49,21.1,40.7,38.2,5766,110.2509,104.8,114.3,111.5,1850.1,1902.72,8673
2002,贵州省,1243.43,280.83,474.68,370.49,104.19,429.53,84.35,100.61,41.45,37.22,182.34,23.7,40.1,36.2,3153,109.0568,102.2,113.6,109.4,416.2,632.97,3837
2002,云南省,2312.82,470.5,951.48,780.33,171.15,810.34,150.56,239.25,102.38,84.11,322.48,21.1,42.6,36.3,5179,108.9923,103.9,109.4,111.4,711.3,814.61,4333
2002,陕西省,2253.39,303.79,925.78,691.07,234.71,806.39,210.43,228.35,67.3,58.33,387.14,14.9,45.5,39.6,5523,111.0606,104.2,112.2,111,728.2,915.35,3674
2002,甘肃省,1232.0302,214.45,530.36,390.61,139.75,416.62,64.25,129.91,42.08,29.91,194.31,18.4,45.7,35.9,4493,109.8642,105.8,110.8,111.3,433.5,526.21,2593
2002,青海省,340.65,44.9,154.01,100.19,53.82,142.2,27.53,29.29,16.75,5.38,60.7,13.2,45.1,41.7,6426,112.0804,104.5,116.6,110.6,101,232.35,529
2002,宁夏回族自治区,377.1552,52.84,151.16,114.8,36.36,125.28,25.58,32.25,21.45,7.35,60.44,16.1,45.9,38,5804,110.2096,106.1,112.5,109.4,108.8,226.98,572
2002,新疆维吾尔自治区,1612.65,305,672.1,473,199.1,621.18,131.43,123.88,52.18,22.79,316.82,19.1,42.1,38.8,8382,108.1504,105,108.4,110.4,442.9,800.09,1905
2003,北京市,5023.77,95.64,1311.86,1032.03,279.83,2255.6,253.8,567.09,635.56,190.55,1441.15,2.6109,35.8128,61.5763,32061,111,103.3136,111.9155,110.8,1916.7,2169.26,1456.4
2003,天津市,2578.03,89.66,1245.29,1136.24,109.05,1112.71,244.48,358.23,112.79,125.43,344.77,3.6,50.8768,45.4602,26532.0369,114.8,106.1023,118.0328,111.9,922.3,1039.39,1011.3
2003,河北省,6921.29,1064.33,3657.19,3212.96,444.23,2377.04,611.96,557.34,199.87,136.85,888.2,14.9936,51.5202,33.4862,10513.239,111.6,106.1,114.3,110,2177.9,2477.98,6769.44
2003,山西省,2855.23,215.19,1389.33,1192.74,196.59,852.07,203.77,258.15,118.48,37.45,400.58,8.7597,56.5552,34.6851,7435,114.9,106.9,116,115.5,729.3,1100.86,3314.29
2003,内蒙古自治区,2388.38,420.0993,973.9356,721.59,252.3456,756.38,216.76,312.12,48.39,24.92,282.43,19.5357,45.2906,35.1737,8974.6459,117.6,105.9491,127.9033,114.5,726.8,1174.66,2379.61
2003,辽宁省,6002.54,615.8,2898.89,2556.82,342.07,2487.85,495.67,803.21,145.38,188.49,855.1,10.259,48.2944,41.4466,14257.8147,111.5,107.1635,112.2555,111.7,2330.8,2076.36,4210
2003,吉林省,2662.08,486.9,1143.39,929.28,214.11,892.33,152.27,327.67,73.15,66.09,366.71,19.3014,45.3255,35.3731,9338,110.2,105.9,114.3,108.3,1110.3,969.03,2703.7
2003,黑龙江省,4057.4,500.8,2532.45,2248.59,283.86,1396.75,278.32,412.3,32.2,123.24,565.7,11.3047,57.1659,31.5293,11615.1,110.2,102.3516,111.8762,110.1,1376.5,1166.18,3815
2003,上海市,6694.23,90.64,3130.72,2865.85,264.87,3029.45,420.53,731.3,517.97,463.93,1119.29,1.4501,50.085,48.4,46718,112.3,99.7961,116.1085,109,2220.6,2499.14,1711
2003,江苏省,12442.87,1106.35,6787.11,6004.65,782.46,4567.37,821.48,1434.33,392.11,549.5,1397.91,8.8786,54.4676,36.6,16809,113.6,99.8658,117.2,112.4,3566.5,5233,7405.82
2003,浙江省,9705.02,728,4941,4381,560,3726,700.88,1095.92,451.53,238.5,1311.1,7.7488,52.5918,39.6594,20147,114.7,103.6,116.7,114.4,3157.1,4740.27,4679.55
2003,安徽省,3923.1,732.81,1780.6,1445.6,335,1458.97,254.32,380.49,87.45,166.66,681.5,18.5,44.8245,36.7279,6455,109.4,97.8,112.6,114.3,1331.2,1418.69,6410
2003,福建省,4983.67,692.94,2492.73,2147,345.73,2046.5,532.04,520.56,150.09,158.21,584.58,13.3,47.6424,39.1138,14979,111.5,103.2995,116.0246,109.7,1740.4,1496.37,3488
2003,江西省,2807.41,560,1227.38,849.32,378.06,1043.08,261.11,243.06,64.31,138.02,331.58,19.7848,43.3633,36.8,6678,113,102.7,124.3,107.4,923.2,1303.22,4254.23
2003,山东省,12078.15,1480.67,6656.85,5860.63,796.22,4298.41,724.62,1283.7,329.71,490.88,1370.62,11.9064,53.5292,34.5644,13661,113.4,105.55,117.01,111.4,3936.5,5315.14,9125
2003,河南省,6867.7,1239.7,3551.94,3034.14,517.8,2256.95,561.17,643.7,165.11,201.17,797.36,17.5879,50.3922,32.0199,7570.1751,110.7,97.4514,117.0476,110.1,2426.4,2262.97,9667
2003,湖北省,4757.45,798.35,2580.58,2254.5,326.08,2022.78,334.59,569.27,107.31,148.95,765.06,14.7796,47.7734,37.447,9010.7,109.7,105.8,110.2,110.8,2358.7,1809.45,6001.7
2003,湖南省,4659.99,886.47,1794.21,1452.86,341.35,1958.05,359.83,458.07,99.35,137.71,878.6,19.1102,38.6789,42.2109,7554,109.6,103.6,112.4,109.7,1816.3,1590.32,6662.8
2003,广东省,15844.64,1093.5191,7307.08,6532.98,774.1,5225.267,1207.6748,2009.33,534.28,731.5729,2416.28,8.0253,53.6265,38.4,17213.0699,114.8,102.3158,120.0076,111.3,5606,4813.2,7954.22
2003,广西壮族自治区,2821.11,652.28,1007.96,813.81,194.15,1074.89,248.22,375.96,61.59,81.67,405.38,23.8482,36.8524,39.2994,5969,110.2,104.0336,114.622,110,857.7,921.3,4857
2003,海南省,693.2,248.33,151.16,102.52,48.64,271.44,58.19,85.64,10.68,12.45,105.85,37.0128,22.5299,40.4573,8316,110.6,108.9915,119.0469,107.8,191.6,280.02,810.52
2003,重庆市,2272.82,336.36,977.3,768.37,208.93,936.9,136.56,253.49,74.86,87.79,346.43,15,43.4247,41.6296,7209,111.5,104.2,116,109.5,835.5,1161.51,3130
2003,四川省,5333.09,1128.61,2266.06,1771.41,494.65,2061.65,381.25,540.91,206.24,187.36,785.35,20.6845,41.5309,37.7846,6418,111.3,105.5439,116.4921,111.2,2091.1,2336.34,8700.4
2003,贵州省,1426.34,298.37,579.31,457.12,122.19,478.43,93.11,116.05,48.01,38.85,215.1,22.0019,42.7185,35.2796,3603,110.1,104.5528,113.3,110.1,458.8,748.12,3869.66
2003,云南省,2556.02,502.84,1069.29,872.14,197.15,893.16,172.52,244.87,105.47,90.04,383.25,20.3968,43.3738,36.2294,5662,108.8,105.5,110.5,109.1,782.5,1000.12,4375.6
2003,陕西省,2587.72,320.03,1133.56,834.76,298.8,944.99,226.01,256.16,77.87,117.37,428.46,13.3425,47.2596,39.3979,6480,111.8,105.1,114.8,109.8,853.2,1200.68,3689.5
2003,甘肃省,1399.83,236.61,607.62,449.81,157.81,460.37,70.91,140.18,42.31,33.4,234.34,18.1366,46.5752,35.2882,5021.6324,110.7,105.4204,112.2302,112,474.6,619.82,2603.34
2003,青海省,390.2,46.15,184.26,120.77,63.49,159.8,32.58,33.3,17.98,5.94,68.22,11.827,47.2207,40.9523,7277,111.9,103.8046,116.4431,109.9,102.7,255.62,533.8
2003,宁夏回族自治区,445.36,55.5,192,143.31,48.69,137.84,27.84,36.53,24.8,8.66,67.3,14.4029,49.8261,35.771,6691,112.7,102.4,118.8,110.4,120.8,317.99,580.3
